20 10
020202 3C1AC3 00C336 00426C 00361C 003C00 006C00 001E00 001C00 00FE00
004D24 009006 004C6A 00EFAE 006251 00C300 000500 00FC00 00A600 001600
00361B 00E73C 009C1E 007606 003E04 001700 000600 005600 006E00 00E000
00AC7C 002B0C 00D46D 005317 004062 00EE00 00B200 005B00 00A600 00D200
001C00 00EA00 000200 008E00 007300 008900 000C00 006100 005600 00D300
002400 009700 000600 007B00 006A00 00B300 00AE00 003600 005100 005F00
003000 009000 00F200 003B00 002900 00A800 006000 000B00 003E00 004B00
007D00 00DF00 008C00 004800 007F00 003100 002A00 004300 008000 00C900
00B400 004F00 005900 004B00 00A600 008700 001800 006400 00FA00 00F800
005C00 00AB00 00B300 00ED00 00F600 00A400 00F500 00B800 00DA00 00AF00
001B00 009E00 003C00 00B400 001E00 000300 000600 000A00 000400 002900
006000 00E100 007300 000700 00D900 005500 005E00 001500 005700 000200
004B00 00AD00 00F600 005200 009300 008200 00F500 00A600 001400 005B00
006F00 005E00 003100 004D00 00CB00 00A700 002500 003A00 00FA00 007D00
005800 00B200 009F00 009900 002A00 000B00 001C00 005600 00BA00 00AD00
007C00 004100 000C00 003C00 006D00 00A000 001700 00FB00 006200 007000
00A700 009E00 005E00 00EC00 009200 001C00 005600 002400 009800 007E00
00DE00 00C000 00B300 00CD00 00EE00 00E700 00B800 00EB00 000B00 009300
00A700 00CA00 001700 007600 009700 00EF00 003600 007400 004100 009600
00B700 007100 007700 005B00 000600 00F700 004A00 00CE00 00F300 004400
